"tweet"
"Horrible news out of #Uttarakhand"
"Prayer for #Uttarakhand 🙏🙏"
"Ohhh God Please Save #Uttarakhand"
"Extremely Sad To Hear About The #Uttarakhand Glacier Break, Praying For The Safety Of Missing People... 🙏

Helpline… https://t.co/a8HXQ6Y3Hb"
"Prayers for #Uttarakhand 🙏🙏"
"Prayer for #Uttarakhand.
🙏🙏"
"ALERT 🚨 #Uttarakhand 

Emergency 🆘 numbers 1070  9557444486 

Please follow all official advisories.

#Uttarakhand #Chamoli"
"Heavy Devastation Due To Glacier breakage in Chamoli, Uttrakhand.Very sad news...Geographical issues of our country… https://t.co/hFmkb6D9bX"
"I wish everyone stay safe in  Uttarakhand during this tragedy.

#Uttarakhand"
"O Lord Shiva please save #Uttarakhand !"
"Distressing to hear about the glacier breaking off in #Uttarakhand Praying everyone’s safety there 🙏"
"#Uttarakhand tragic events unfolding .. https://t.co/bqiO6lFSWg"
"Praying for safety of all #Uttarakhand 🙏"
"What's happening ? This is so scary.. My prayers for Uttarakhand people.. 
Hope everyone stays safe .. May God prot… https://t.co/vKsBHTeeAP"
"Pray for #Uttarakhand 🙏"
"Pray for the Uttarakhand 
#Uttarakhand"
"This is so sad news pray for labors

#Uttarakhand"
"@kktotlani Prayers for #Uttarakhand 🙏🏻"
"Pray for #Uttarakhand people that have mahadev"
"Prayering for lives there at devbhumi #Uttarakhand.🙏"
"Scary news coming from #Uttarakhand 

Praying for safety of all 🙏🙏"
"Scary visuals
#Uttarakhand 
#Haridwar
https://t.co/YZqvkCQAk7"
"@ANI Such a horrific tragedy in #Uttarakhand and this shameless Minister is busy in propaganda."
"We pray for the people who are affected in this devastating breakdown of glacier.
This scene is not bearable.
What… https://t.co/k4UUhn5h4n"
"God bless #Uttarakhand"
"🙏Pray for #Uttarakhand"
"Floods in Uttarakhand due to Glacial burst is so scary. I hope all are safe.
I pray for speedy return to normalcy a… https://t.co/1t01RaAYFL"
"Prayers for #Uttarakhand 🙏
My State #Uttarakhand"
"Respected indians 
Let pray for the  people and provide all the support we can let's help the people around. #Uttarakhand"
"Let's pray for Uttarakhand. 🙏🙏 Eventually it will reach the people in #Chamoli #Uttarakhand"
"Hope ppl in safe if you're stuck or anywhere near the affected area of flash flood please contact Disaster Operatio… https://t.co/cywjzpswTh"
"You know it...when you see these response so soon.
@HMOIndia what is the reason????
#Uttarakhand https://t.co/MvVT16zOW5"
"4 Army columns, Two Medical teams,  one Engineering Task Force deployed at Ringi village. Army helicopters on aeria… https://t.co/Y1tGCRIOeZ"
"The more hydro-power plants u build, the more entropy (floods) you'll receive..☺
#Uttarakhand #ClimateAction… https://t.co/AbXRVMAlcI"
"My prayers are with the people of Uttarakhand
May Mahadev protect them all❤🙏
#Uttarakhand."
"The tragedy Uttarakhand is facing is beyond imagination. #Uttarakhand"
"Prayers with #Uttarakhand !"
"Extremely saddened to know about the massive flooding at #Uttarakhand, 

May Allah protect everyone.

Along with he… https://t.co/ML4XXemuU7"
"#BJP president #JPNadda speaks to #Uttarakhand CM #TSRawat and enquires about the flood situation in #Chamoli. He a… https://t.co/mC3XVY7DiH"
"Really Really praying for all in  #Uttarakhand.. https://t.co/98sYpnqyMg"
"Stay safe ppl of  #Uttarakhand 🙏 https://t.co/QBcUhR8Fui"
"#Uttarakhand
God please save people"
"Pray #Uttarakhand"
"Constantly monitoring the unfortunate situation in Uttarakhand. Have been continuously speaking to senior authoriti… https://t.co/1QCxRQqQxh"
"Praying for safety of all🙏 #Uttarakhand"
"Prayers for #Uttarakhand 🙏"
"Thoughts &amp; Prayers with People of Uttarakhand who are struck by Devastating Flood #Uttarakhand"
"Pray for #Uttarakhand 🙏🙏 https://t.co/wWPtC3SQ4s"
"#Uttarakhand praying 🙏 https://t.co/TFGb4PTrOL"
"Prayers for #Uttarakhand"
"ALERT 🚨 #Uttarakhand 

Emergency 🆘 numbers 1070  9557444486 

Please follow all official advisories.

#Uttarakhan"
"May all stay safe 

#Uttarakhand"
"Prayers 🙏 #Uttarakhand"
"Hope Mother Ganga Keeps All Her Sons And Daughters Away From Her Wrath For The Other Wicked Humans Who Irresponsibl… https://t.co/Zh5iek5XVn"
"Praying 🙏 
Hope everyone is safe !
#GlacierBurst #Chamoli #Uttarakhand"
"BJP president #JPNadda speaks to #Uttarakhand CM TS Rawat and enquires about the flood situation in #Chamoli. He al… https://t.co/XWapT5h9Sx"
"Glacier breaking off  two army column  medical unit deployed in #Uttarakhand"
"Pray for #Uttarakhand"
"Very sad to hear that my #Uttarakhand is again facing another disaster, I urge everyone who is affected by this dis… https://t.co/oBhC8F3PmD"
"Scary visuals of glacier breaking in #Uttarakhand. Praying for everyone's safety."
"Praying for UK 🙌🏻🙏🏻

#Uttarakhand"
"Prayers for #Uttarakhand 

Serve Justice To Disha SSR"
"Water level at Rishikesh the water Level may rise to 340.50 m at 20:00 hrs and Haridwar the Water Level May Reach 2… https://t.co/ov9E79FYCe"
"#Uttarakhand 
Dangerous flood. God help them and protect them."
